"Code point","Rank 1","Rank 2","Unicode name","WP43S usage","Should be","Glyph","Replacement","Code point"
"U+0159",250,257,"LATIN SMALL LETTER R WITH CARON",,,"ř","R","U+0052"
"U+015a",259,264,"LATIN CAPITAL LETTER S WITH ACUTE",,,"Ś","S","U+0053"
"U+015b",259,265,"LATIN SMALL LETTER S WITH ACUTE",,,"ś","S","U+0053"
"U+015e",259,266,"LATIN CAPITAL LETTER S WITH CEDILLA",,,"Ş","S","U+0053"
"U+015f",259,267,"LATIN SMALL LETTER S WITH CEDILLA",,,"ş","S","U+0053"
"U+0160",259,268,"LATIN CAPITAL LETTER S WITH CARON",,,"Š","S","U+0053"
"U+0161",259,269,"LATIN SMALL LETTER S WITH CARON",,,"š","S","U+0053"
"U+0162",271,277,"LATIN CAPITAL LETTER T WITH CEDILLA",,,"Ţ","T","U+0054"
"U+0163",271,278,"LATIN SMALL LETTER T WITH CEDILLA",,,"ţ","T","U+0054"
"U+0164",271,279,"LATIN CAPITAL LETTER T WITH CARON",,,"Ť","T","U+0054"
"U+0165",271,280,"LATIN SMALL LETTER T WITH CARON",,,"ť","T","U+0054"
"U+0168",281,294,"LATIN CAPITAL LETTER U WITH TILDE",,,"Ũ","U","U+0055"
"U+0169",281,295,"LATIN SMALL LETTER U WITH TILDE",,,"ũ","U","U+0055"
"U+016a",281,296,"LATIN CAPITAL LETTER U WITH MACRON",,,"Ū","U","U+0055"
"U+016b",281,297,"LATIN SMALL LETTER U WITH MACRON",,,"ū","U","U+0055"
"U+016c",281,298,"LATIN CAPITAL LETTER U WITH BREVE",,,"Ŭ","U","U+0055"
"U+016d",281,299,"LATIN SMALL LETTER U WITH BREVE",,,"ŭ","U","U+0055"
"U+016e",281,300,"LATIN CAPITAL LETTER U WITH RING ABOVE",,,"Ů","U","U+0055"
"U+016f",281,301,"LATIN SMALL LETTER U WITH RING ABOVE",,,"ů","U","U+0055"
"U+0172",281,302,"LATIN CAPITAL LETTER U WITH OGONEK",,,"Ų","U","U+0055"
"U+0173",281,303,"LATIN SMALL LETTER U WITH OGONEK",,,"ų","U","U+0055"
"U+0174",308,312,"LATIN CAPITAL LETTER W WITH CIRCUMFLEX",,,"Ŵ","W","U+0057"
"U+0175",308,313,"LATIN SMALL LETTER W WITH CIRCUMFLEX",,,"ŵ","W","U+0057"
"U+0176",324,330,"LATIN CAPITAL LETTER Y WITH CIRCUMFLEX",,,"Ŷ","Y","U+0059"
"U+0177",324,331,"LATIN SMALL LETTER Y WITH CIRCUMFLEX",,,"ŷ","Y","U+0059"
"U+0178",324,332,"LATIN CAPITAL LETTER Y WITH DIAERESIS",,,"Ÿ","Y","U+0059"
"U+0179",336,340,"LATIN CAPITAL LETTER Z WITH ACUTE",,,"Ź","Z","U+005a"
"U+017a",336,341,"LATIN SMALL LETTER Z WITH ACUTE",,,"ź","Z","U+005a"
"U+017b",336,342,"LATIN CAPITAL LETTER Z WITH DOT ABOVE",,,"Ż","Z","U+005a"
"U+017c",336,343,"LATIN SMALL LETTER Z WITH DOT ABOVE",,,"ż","Z","U+005a"
"U+017d",336,344,"LATIN CAPITAL LETTER Z WITH CARON",,,"Ž","Z","U+005a"
"U+017e",336,345,"LATIN SMALL LETTER Z WITH CARON",,,"ž","Z","U+005a"
"U+0232",324,335,"LATIN CAPITAL LETTER Y WITH MACRON","y under root","?","Ȳ","Y","U+0059"
"U+0233",324,334,"LATIN SMALL LETTER Y WITH MACRON",,,"ȳ","Y","U+0059"
"U+0378",314,321,"not defined by unicode","x macron","?","͸","X","U+0058"
"U+0379",314,320,"not defined by unicode","x circumplex","?","͹","X","U+0058"
"U+037f",314,322,"GREEK CAPITAL LETTER YOT ","x under root","?","Ϳ","X","U+0058"
"U+0390",368,373,"GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS",,,"ΐ","Ι","U+0399"
"U+0391",347,347,"GREEK CAPITAL LETTER ALPHA",,,"Α","Α","U+0391"
"U+0392",351,351,"GREEK CAPITAL LETTER BETA",,,"Β","Β","U+0392"
"U+0393",353,353,"GREEK CAPITAL LETTER GAMMA",,,"Γ","Γ","U+0393"
"U+0394",355,355,"GREEK CAPITAL LETTER DELTA",,,"Δ","Δ","U+0394"
"U+0395",358,358,"GREEK CAPITAL LETTER EPSILON",,,"Ε","Ε","U+0395"
"U+0396",361,361,"GREEK CAPITAL LETTER ZETA",,,"Ζ","Ζ","U+0396"
"U+0397",363,363,"GREEK CAPITAL LETTER ETA",,,"Η","Η","U+0397"
"U+0398",366,366,"GREEK CAPITAL LETTER THETA",,,"Θ","Θ","U+0398"
"U+0399",368,368,"GREEK CAPITAL LETTER IOTA",,,"Ι","Ι","U+0399"
"U+039a",374,374,"GREEK CAPITAL LETTER KAPPA",,,"Κ","Κ","U+039a"
"U+039b",376,376,"GREEK CAPITAL LETTER LAMDA",,,"Λ","Λ","U+039b"
"U+039c",378,378,"GREEK CAPITAL LETTER MU",,,"Μ","Μ","U+039c"
"U+039d",382,382,"GREEK CAPITAL LETTER NU",,,"Ν","Ν","U+039d"
"U+039e",384,384,"GREEK CAPITAL LETTER XI",,,"Ξ","Ξ","U+039e"
"U+039f",386,386,"GREEK CAPITAL LETTER OMICRON",,,"Ο","Ο","U+039f"
"U+03a0",389,389,"GREEK CAPITAL LETTER PI",,,"Π","Π","U+03a0"
"U+03a1",392,392,"GREEK CAPITAL LETTER RHO",,,"Ρ","Ρ","U+03a1"
"U+03a3",394,394,"GREEK CAPITAL LETTER SIGMA",,,"Σ","Σ","U+03a3"
"U+03a4",398,398,"GREEK CAPITAL LETTER TAU",,,"Τ","Τ","U+03a4"
"U+03a5",400,400,"GREEK CAPITAL LETTER UPSILON",,,"Υ","Υ","U+03a5"
"U+03a6",406,406,"GREEK CAPITAL LETTER PHI",,,"Φ","Φ","U+03a6"
"U+03a7",408,408,"GREEK CAPITAL LETTER CHI",,,"Χ","Χ","U+03a7"
"U+03a8",410,410,"GREEK CAPITAL LETTER PSI",,,"Ψ","Ψ","U+03a8"
"U+03a9",412,412,"GREEK CAPITAL LETTER OMEGA",,,"Ω","Ω","U+03a9"
"U+03aa",368,371,"GREEK CAPITAL LETTER IOTA WITH DIALYTIKA",,,"Ϊ","Ι","U+0399"
